"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.21121983541958,0.546762589928058,0.94047619047619,0.453237410071942,0.94047619047619
"training","overall",0.211394206855106,0.550359712230216,0.94047619047619,0.449640287769784,0.94047619047619
"training","overall",0.212454231288463,0.553956834532374,0.94047619047619,0.446043165467626,0.94047619047619
"training","overall",0.213534588559601,0.553956834532374,0.936507936507937,0.446043165467626,0.936507936507937
"training","overall",0.214401442904089,0.557553956834532,0.936507936507937,0.442446043165468,0.936507936507937
"training","overall",0.217518035683328,0.561151079136691,0.936507936507937,0.438848920863309,0.936507936507937
"training","overall",0.220189999864457,0.564748201438849,0.936507936507937,0.435251798561151,0.936507936507937
"training","overall",0.22110109472554,0.568345323741007,0.936507936507937,0.431654676258993,0.936507936507937
"training","overall",0.222604053831545,0.571942446043165,0.936507936507937,0.428057553956835,0.936507936507937
"training","overall",0.224771716109505,0.575539568345324,0.936507936507937,0.424460431654676,0.936507936507937
"training","overall",0.226895449582547,0.575539568345324,0.932539682539683,0.424460431654676,0.932539682539683
"training","overall",0.230648534249009,0.579136690647482,0.932539682539683,0.420863309352518,0.932539682539683
"training","overall",0.235274212585788,0.58273381294964,0.932539682539683,0.41726618705036,0.932539682539683
"training","overall",0.238930835059064,0.586330935251799,0.932539682539683,0.413669064748201,0.932539682539683
"training","overall",0.241327031699544,0.586330935251799,0.928571428571429,0.413669064748201,0.928571428571429
"training","overall",0.24194286861239,0.589928057553957,0.928571428571429,0.410071942446043,0.928571428571429
"training","overall",0.242668814028717,0.593525179856115,0.928571428571429,0.406474820143885,0.928571428571429
"training","overall",0.24348413556101,0.597122302158273,0.928571428571429,0.402877697841727,0.928571428571429
"training","overall",0.243881883074576,0.600719424460432,0.928571428571429,0.399280575539568,0.928571428571429
"training","overall",0.245287638876851,0.600719424460432,0.924603174603175,0.399280575539568,0.924603174603175
"training","overall",0.252248268328802,0.60431654676259,0.924603174603175,0.39568345323741,0.924603174603175
"training","overall",0.258278095743446,0.607913669064748,0.924603174603175,0.392086330935252,0.924603174603175
"training","overall",0.258714211095825,0.611510791366906,0.924603174603175,0.388489208633094,0.924603174603175
"training","overall",0.260697088874926,0.615107913669065,0.924603174603175,0.384892086330935,0.924603174603175
"training","overall",0.26473528319222,0.618705035971223,0.924603174603175,0.381294964028777,0.924603174603175
"training","overall",0.268745336320481,0.622302158273381,0.924603174603175,0.377697841726619,0.924603174603175
"training","overall",0.27091954665349,0.62589928057554,0.924603174603175,0.37410071942446,0.924603174603175
"training","overall",0.273927436048314,0.629496402877698,0.924603174603175,0.370503597122302,0.924603174603175
"training","overall",0.276900010426913,0.633093525179856,0.924603174603175,0.366906474820144,0.924603174603175
"training","overall",0.277861144271373,0.636690647482014,0.924603174603175,0.363309352517986,0.924603174603175
"training","overall",0.278891235983599,0.640287769784173,0.924603174603175,0.359712230215827,0.924603174603175
"training","overall",0.281568757102274,0.643884892086331,0.924603174603175,0.356115107913669,0.924603174603175
"training","overall",0.285076370923802,0.643884892086331,0.920634920634921,0.356115107913669,0.920634920634921
"training","overall",0.287999276707046,0.643884892086331,0.916666666666667,0.356115107913669,0.916666666666667
"training","overall",0.2898319950942,0.647482014388489,0.916666666666667,0.352517985611511,0.916666666666667
"training","overall",0.291990500096289,0.647482014388489,0.912698412698413,0.352517985611511,0.912698412698413
"training","overall",0.296217671391321,0.647482014388489,0.908730158730159,0.352517985611511,0.908730158730159
"training","overall",0.300207644593648,0.647482014388489,0.904761904761905,0.352517985611511,0.904761904761905
"training","overall",0.303096876966934,0.651079136690647,0.904761904761905,0.348920863309353,0.904761904761905
"training","overall",0.305171833254748,0.654676258992806,0.904761904761905,0.345323741007194,0.904761904761905
"training","overall",0.306242950150754,0.658273381294964,0.904761904761905,0.341726618705036,0.904761904761905
"training","overall",0.307357891088669,0.658273381294964,0.900793650793651,0.341726618705036,0.900793650793651
"training","overall",0.30855519379091,0.658273381294964,0.896825396825397,0.341726618705036,0.896825396825397
"training","overall",0.309234296550529,0.658273381294964,0.892857142857143,0.341726618705036,0.892857142857143
"training","overall",0.311775629615025,0.661870503597122,0.892857142857143,0.338129496402878,0.892857142857143
"training","overall",0.314516852915399,0.661870503597122,0.888888888888889,0.338129496402878,0.888888888888889
"training","overall",0.315650014542822,0.665467625899281,0.888888888888889,0.334532374100719,0.888888888888889
